"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"search:Temporal_Epoch:2                 search:ceres_geologic_epoch:1          ","Attribute","ceres_geologic_epoch","n/a","search","Relative timescale for Ceres","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Research_Context:1              ","Class","Research_Context","1.0","search","Information about the research context and associated metadata.","drum","","","","","","","","","","",""
"search:Research_Context:2               search:research_goals:1                ","Attribute","research_goals","n/a","search","What was the goal of the research endeavor","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Research_Context:2               search:related_publications:1          ","Attribute","related_publications","n/a","search","Related publications of the study","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Research_Context:2               search:keywords:1                      ","Attribute","keywords","n/a","search","Suggested keywords to describe your study","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Research_Context:2               search:principal_investigator:1        ","Attribute","principal_investigator","n/a","search","Principal investigator of the project if different from the data set","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Research_Context:2               search:institution:1                   ","Attribute","institution","n/a","search","Institution of the study","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Software_Used:1                 ","Class","Software_Used","1.0","search","Software used to analyze the data.","drum","","","","","","","","","","",""
"search:Software_Used:2                  search:data_visualization_software:1   ","Attribute","data_visualization_software","n/a","search","Visualization software which may include analysis tools","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Software_Used:2                  search:modeling_software:1             ","Attribute","modeling_software","n/a","search","Key modeling software","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Software_Used:2                  search:orbital_mechanics_software:1    ","Attribute","orbital_mechanics_software","n/a","search","Software used for navigation or modeling","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Software_Used:2                  search:digital_terrain_modeling_software:1","Attribute","digital_terrain_modeling_software","n/a","search","Key modeling software","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Software_Used:2                  search:other_software:1                ","Attribute","other_software","n/a","search","Any software not covered by other values","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
