"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"search:Physical_Properties:2            search:process_type:1                  ","Attribute","process_type","n/a","search","Type of process being studied.","drum","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Physical_Properties:2            search:process_type:2                   Value:Atmospheric","Value","Atmospheric","","","Atmospheric processes"
"search:Physical_Properties:2            search:process_type:2                   Value:Erosional","Value","Erosional","","","Surface degradation processes"
"search:Physical_Properties:2            search:process_type:2                   Value:Impact","Value","Impact","","","Collision processes"
"search:Physical_Properties:2            search:process_type:2                   Value:Other","Value","Other","","","Any process type not covered by other values"
"search:Physical_Properties:2            search:process_type:2                   Value:Tectonic","Value","Tectonic","","","Crustal deformation processes"
"search:Physical_Properties:2            search:process_type:2                   Value:Volcanic","Value","Volcanic","","","Volcanic activity"
"search:Physical_Properties:2            search:composition:1                   ","Attribute","composition","n/a","search","Primary composition of the material being studied.","drum","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Physical_Properties:2            search:composition:2                    Value:Gaseous","Value","Gaseous","","","Composed primarily of gas"
"search:Physical_Properties:2            search:composition:2                    Value:Icy","Value","Icy","","","Composed primarily of water or other volatile ices"
"search:Physical_Properties:2            search:composition:2                    Value:Metal","Value","Metal","","","Composed primarily of metallic elements"
"search:Physical_Properties:2            search:composition:2                    Value:Mixed","Value","Mixed","","","Composed of a mixture of different materials"
"search:Physical_Properties:2            search:composition:2                    Value:Organic","Value","Organic","","","Composed primarily of organic compounds"
"search:Physical_Properties:2            search:composition:2                    Value:Other","Value","Other","","","Any composition not covered by other values"
"search:Physical_Properties:2            search:composition:2                    Value:Silicate","Value","Silicate","","","Composed primarily of silicate minerals"
"search:Mission_Context:1               ","Class","Mission_Context","1.0.0.0","search","Information about the mission context of the data.","drum","","","","","","","","","","",""
"search:Mission_Context:2                search:mission_name:1                  ","Attribute","mission_name","n/a","search","Name of the mission associated with the data.","drum","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Mission_Context:2                search:mission_phase:1                 ","Attribute","mission_phase","n/a","search","Phase of the mission during which the data was collected.","drum","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Mission_Context:2                search:funding_source:1                ","Attribute","funding_source","n/a","search","Primary source of funding for the mission or research.","drum","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
