"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"search:Body_Type:2                      search:ring_division:2                  Value:Keeler_Gap","Value","Keeler_Gap","","","Gap in the A ring"
"search:Body_Type:2                      search:ring_division:2                  Value:Other","Value","Other","","","Any ring division not covered by other values"
"search:Body_Type:2                      search:ring_feature:1                  ","Attribute","ring_feature","n/a","search","Feature within a planetary ring.","drum","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Body_Type:2                      search:ring_feature:2                   Value:Other","Value","Other","","","Any ring feature not covered by other values"
"search:Body_Type:2                      search:ring_feature:2                   Value:Spiral_Bending_Wave","Value","Spiral_Bending_Wave","","","Spiral wave in ring plane"
"search:Body_Type:2                      search:ring_feature:2                   Value:Spiral_Density_Wave","Value","Spiral_Density_Wave","","","Spiral wave in ring density"
"search:Body_Type:2                      search:ring_feature:2                   Value:Spoke","Value","Spoke","","","Radial feature in Saturn's rings"
"search:Body_Type:2                      search:solar_component:1               ","Attribute","solar_component","n/a","search","Component of the Sun.","drum","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Body_Type:2                      search:solar_component:2                Value:Chromosphere","Value","Chromosphere","","","Layer above the photosphere"
"search:Body_Type:2                      search:solar_component:2                Value:Convective_Zone","Value","Convective_Zone","","","Region where energy is transferred by convection"
"search:Body_Type:2                      search:solar_component:2                Value:Core","Value","Core","","","Innermost part of the Sun"
"search:Body_Type:2                      search:solar_component:2                Value:Corona","Value","Corona","","","Outermost layer of the Sun's atmosphere"
"search:Body_Type:2                      search:solar_component:2                Value:Heliosphere","Value","Heliosphere","","","Region of space dominated by the Sun"
"search:Body_Type:2                      search:solar_component:2                Value:Other","Value","Other","","","Any solar component not covered by other values"
"search:Body_Type:2                      search:solar_component:2                Value:Photosphere","Value","Photosphere","","","Visible surface of the Sun"
"search:Body_Type:2                      search:solar_component:2                Value:Radiative_Zone","Value","Radiative_Zone","","","Region where energy is transferred by radiation"
"search:Body_Type:2                      search:solar_component:2                Value:Solar_Wind","Value","Solar_Wind","","","Stream of charged particles from the Sun"
"search:Physical_Properties:1           ","Class","Physical_Properties","1.0.0.0","search","Information about the physical properties of the object under study.","drum","","","","","","","","","","",""
